"Episode","Length","Reward","IMG","LOG"
"99","11.220000000000001","-0.74199999999999955","./frames/image99.gif","./frames/log99.csv"
"199","8.4399999999999995","-0.82399999999999995","./frames/image199.gif","./frames/log199.csv"
"299","8.9199999999999999","-0.55200000000000005","./frames/image299.gif","./frames/log299.csv"
"399","9.6999999999999993","-0.91000000000000014","./frames/image399.gif","./frames/log399.csv"
"499","8.9800000000000004","-0.63800000000000001","./frames/image499.gif","./frames/log499.csv"
"599","8.1600000000000001","-0.71600000000000019","./frames/image599.gif","./frames/log599.csv"
"699","9.0800000000000001","-0.6080000000000001","./frames/image699.gif","./frames/log699.csv"
"799","9.3399999999999999","-0.71400000000000008","./frames/image799.gif","./frames/log799.csv"
"899","8.6199999999999992","-0.80200000000000016","./frames/image899.gif","./frames/log899.csv"
"999","11.619999999999999","-0.98200000000000021","./frames/image999.gif","./frames/log999.csv"
"1099","10.279999999999999","-0.84800000000000009","./frames/image1099.gif","./frames/log1099.csv"
"1199","9.5800000000000001","-0.97799999999999998","./frames/image1199.gif","./frames/log1199.csv"
"1299","7.2199999999999998","-0.622","./frames/image1299.gif","./frames/log1299.csv"
"1399","7.6799999999999997","-0.82799999999999996","./frames/image1399.gif","./frames/log1399.csv"
"1499","6.3600000000000003","-0.53600000000000003","./frames/image1499.gif","./frames/log1499.csv"
"1599","7.0800000000000001","-0.56800000000000006","./frames/image1599.gif","./frames/log1599.csv"
"1699","5.3600000000000003","-0.59599999999999997","./frames/image1699.gif","./frames/log1699.csv"
"1799","8.2400000000000002","-0.68400000000000005","./frames/image1799.gif","./frames/log1799.csv"
"1899","5.2599999999999998","-0.30599999999999999","./frames/image1899.gif","./frames/log1899.csv"
"1999","5.0599999999999996","-0.44600000000000006","./frames/image1999.gif","./frames/log1999.csv"
"2099","6.1799999999999997","-0.83799999999999997","./frames/image2099.gif","./frames/log2099.csv"
"2199","7.4000000000000004","-0.7599999999999999","./frames/image2199.gif","./frames/log2199.csv"
"2299","6.1399999999999997","-0.47400000000000003","./frames/image2299.gif","./frames/log2299.csv"
"2399","10.66","-0.88599999999999923","./frames/image2399.gif","./frames/log2399.csv"
"2499","12.4","-0.89999999999999958","./frames/image2499.gif","./frames/log2499.csv"
"2599","12.619999999999999","-1.0639999999999998","./frames/image2599.gif","./frames/log2599.csv"
"2699","13.92","-1.3979999999999981","./frames/image2699.gif","./frames/log2699.csv"
