"WORD","X","Y"
"???","1.8744907627874765","4.785938986003444"
"<S>","5.253653320605796","-1.4410410223734826"
"</S>","1.8324605348106389","3.5580639883331555"
"<PAD>","1.4167545923331255","-5.4190640874980591"
",","2.3660057118079245","4.8142211043963492"
"the","-1.4264694073594097","2.7496602748005516"
".","1.6788018755426641","5.0498859990112912"
"of","3.5835640290106454","2.6396876151406889"
"and","2.4033376516829099","4.7632107955117124"
"in","3.4961296774856461","2.2132022240468996"
"to","3.5351038196558244","2.4749839817083883"
"a","1.2622992869289482","2.5975737601463225"
"####","-5.0584271356029236","3.4305055446365862"
"was","10.196534330488536","-1.5178751894804501"
"is","10.223435968104237","-1.5064069576596817"
")","2.1576896638272394","4.8812047230427007"
"(","2.3129920654297855","4.8552795673623583"
"##","-4.5105578045496388","3.4780830773576796"
"The","2.8822943841479098","6.9982804544498336"
"""","1.9205572291129478","4.9059426154994634"
"for","3.5340837700702732","2.306451857893522"
"on","3.4583623743840826","2.0570294882574949"
"as","3.1652017099077936","3.4206211123389756"
"by","3.5291192260185538","2.4963957091412379"
"with","3.4753746537655772","2.3344468443085145"
"that","5.0579305418440335","-2.8798849993752058"
"#","-4.4904234883708272","3.480156131020097"
"'s","9.6900597182689854","-1.7044201174046503"
"from","3.5235687841195658","2.3239973238991869"
"at","3.4916958824325337","1.9248755689731933"
"his","1.385119716660407","2.9566700722155166"
":","2.1629392787492123","4.9239797740327074"
"an","3.0787411682763981","7.6504554805224148"
"|","1.948238969588284","5.0643368062528866"
"are","9.3654525441761329","-2.3405914850084004"
"he","6.9375364282547816","-2.4090625409417461"
"###","-4.4582666724508773","3.494445520258763"
"it","4.6159685390462197","-3.0874096164619829"
"be","9.7295125066517976","-3.6451191628570223"
"were","9.3967213334359112","-2.3277513610051832"
"In","6.2915998974035423","6.8088443211748313"
"which","4.9589336977337908","-2.8494980967396133"
"also","7.4978198267178122","-2.8678808508982296"
"or","2.4614852097074889","4.6477548819915349"
"has","9.3323241469472791","-2.3425841106698746"
"this","1.2915366630029235","2.6661128066267068"
"He","4.0643340413307687","8.3056424618749549"
"not","7.0719452951588755","-3.5594763743791433"
"had","9.2844947349089946","-2.4204447007671726"
";","2.2817026721984561","4.8262347950992792"
"have","9.2993307285733291","-2.6230686027035288"
"first","-2.2596334991352105","2.6826382224126366"
"but","3.1552377531313871","3.4989278500624286"
"I","-11.30164426798561","1.2362236276462331"
"-","2.1968026030708523","4.8674918728289027"
"one","-1.8119917181264364","2.8356389587644744"
"their","1.3305749293903495","2.9407667517652669"
"It","4.0923226954490826","8.2401722951101846"
"who","7.0692933519222532","-2.4132078496896732"
"References","-1.6438750541855602","6.5660778153930819"
"its","1.3685652844594849","2.9533766416001455"
"been","7.7029588765138142","-3.2568315115161268"
"two","-0.39668208639846508","3.1468604203313881"
"her","1.407916991838575","2.9400323529798116"
"other","-0.38212046952715162","2.9185696515684323"
"they","7.144932694674921","-2.5139926450948531"
"all","0.53400341470228574","2.9968708037912273"
"links","1.149876104513446","-10.632800193613694"
"time","-5.740925223781006","-3.3993884552045985"
"UTC","5.6577231576774158","-1.3904828049570404"
"after","3.4769331672996517","2.3723950533436073"
"into","3.5185471769857206","2.2419928091561547"
"'","2.2517564983263578","5.3008453137365361"
"This","3.9369395692588651","7.923452640206138"
"External","-1.6492265615888775","9.5177407739181863"
"%","5.2891426800630317","-7.0916768273371833"
"more","5.3260476418328322","-4.3164216734138652"
"A","-10.117890728713915","2.403369126290924"
"New","-4.5708257169193667","12.436484473451763"
"DEFAULTSORT","-1.1767796673847926","6.4680670953192125"
"would","8.4835196977125999","-2.1513676146957255"
"when","3.2864545587633445","3.0596029571577841"
"only","5.7594458612012538","-3.584891903338471"
"up","3.3767742114709716","0.83580055413376753"
"can","8.4405978473573313","-2.1638611611205136"
"years","5.3892595902535492","-7.9413212186142799"
"about","3.4803022948745026","1.9810730009820885"
"over","3.3058000657124684","1.6290592020761361"
"used","7.365661753756755","2.0182964073336866"
"=","-0.217221365591313","5.2900340731376598"
"new","-1.5927077857930292","1.04162113290811"
"there","5.3742565808008917","-2.6570405218510635"
"##:##","-1.8082372761324141","4.262507495480488"
"she","6.9216273306236662","-2.3445959943375447"
"out","3.3789510394900852","0.83003372240988882"
"such","5.2375516955781096","1.4916730360300319"
"most","5.5359364251665228","-4.9472305611434981"
"where","3.3600433978843074","3.0778481913098554"
"made","7.8440485910990319","2.1045734062101173"
"some","0.55864545238357843","2.9245862413816246"
"him","3.9927483182409964","-3.786919767622928"
"United","-8.9152298848626632","2.5919551828973297"
"during","3.5545401737722218","2.2191295498125463"
"then","7.3291216465073479","-3.0414704113926541"
"between","3.5024275082785428","2.2615359446061167"
"than","4.2681696101325057","2.0327705505210591"
"year","0.11178284185811724","-4.196120425653235"
"talk","-0.76538125446403138","-8.0544022747290871"
"known","5.8705505413925474","1.7183512992830505"
"three","-0.42370226804711963","3.1833512375596755"
"no","-0.62339195501457401","0.34136354962735593"
"University","-7.2375841755657939","7.2674001694133858"
"many","0.22963825045542721","2.9967196161833551"
"American","-7.8829866617096362","1.10946009338698"
"under","3.483003646776643","1.8378144199310433"
"being","7.0266779031580624","-3.157698866649457"
"well","6.0838696248092434","-4.3874992384211851"
"part","-4.8903434978891234","-2.9421955563079565"
"use","-2.2114916028391525","-5.1415114565810827"
"later","6.925911781209229","-3.6783957167303853"
"will","8.4422004526521501","-2.1640075292781433"
"them","4.0184391855364066","-3.7755223194398746"
"became","10.451981681111794","-0.93539972725785681"
"through","3.5047113279174194","2.1790728612250398"
