"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-1.8605613249207602","41.4648","14.7603","59.614","-6.6097","-52.6801"
"3","-1.7783447726472326","50.092","42.1655","12.8063","-10.0339","-83.567"
"1","-1.6952977501487196","20.7907","44.0832","12.491","24.1483","-92.6964"
"0","-1.6114118688370904","-5.3802","37.6668","42.7713","49.6303","-101.489"
"0","-1.5266786553910003","20.7907","44.0832","12.491","24.1483","-92.6964"
"1","-1.4410895509000003","20.7907","44.0832","12.491","24.1483","-92.6964"
"2","-1.3546359100000003","-5.3802","37.6668","42.7713","49.6303","-101.489"
"0","-1.2673090000000002","41.4648","14.7603","59.614","-6.6097","-52.6801"
"0","-1.1791000000000003","50.092","42.1655","12.8063","-10.0339","-83.567"
"0","-1.09","50.092","42.1655","12.8063","-10.0339","-83.567"
"2","-1.0","50.092","42.1655","12.8063","-10.0339","-83.567"
