"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-1.6114118688370904","2.15025","-0.895498","-1.21451","-1.74243","-1.04006"
"0","-1.5266786553910003","1.57834","-1.18393","-1.05977","-1.17784","-0.0716608"
"3","-1.4410895509000003","1.38812","-1.19676","-0.623729","1.76643","0.641849"
"0","-1.3546359100000003","1.81055","-0.558174","-0.712008","1.21849","0.18596"
"0","-1.2673090000000002","1.81055","-0.558174","-0.712008","1.21849","0.18596"
"0","-1.1791000000000003","1.81055","-0.558174","-0.712008","1.21849","0.18596"
"0","-1.09","1.81055","-0.558174","-0.712008","1.21849","0.18596"
"1","-1.0","1.81055","-0.558174","-0.712008","1.21849","0.18596"
