"ACTION","REWARD","A0","A1","A2","A3","V"
"3","-0.5393580989458262","-0.354886","-0.673764","-0.607611","0.614234","0.506317"
"0","-0.4437960595412386","-0.052404","-2.70033","-0.170952","-0.040212","0.507745"
"1","-0.34726874701135213","0.746169","1.63621","-0.443155","1.51456","0.491914"
"0","-0.24976641112257794","-0.052404","-2.70033","-0.170952","-0.040212","0.507745"
"1","-0.15127920315411914","0.746169","1.63621","-0.443155","1.51456","0.491914"
"0","-0.05179717490315064","-0.052404","-2.70033","-0.170952","-0.040212","0.507745"
"1","0.048689722320049866","0.746169","1.63621","-0.443155","1.51456","0.491914"
"0","0.15019163870712107","-0.052404","-2.70033","-0.170952","-0.040212","0.507745"
"1","0.25271882697688997","0.746169","1.63621","-0.443155","1.51456","0.491914"
"0","0.356281643411","-0.052404","-2.70033","-0.170952","-0.040212","0.507745"
"0","0.46089054890000003","0.746169","1.63621","-0.443155","1.51456","0.491914"
"2","0.5665561100000001","0.746169","1.63621","-0.443155","1.51456","0.491914"
"1","0.673289","0.58861","1.33647","-0.645536","0.587249","0.0343304"
"3","0.7811","-0.354886","-0.673764","-0.607611","0.614234","0.506317"
"3","0.89","-0.052404","-2.70033","-0.170952","-0.040212","0.507745"
"0","1.0","-0.288894","-2.44926","-1.87256","-0.968002","-0.121418"
