"ACTION","REWARD","A0","A1","A2","A3","V"
"1","-1.4439650466093858","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-1.3575404511205917","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-1.2702428799197896","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-1.1820635150704943","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-1.0929934495661557","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-1.0030236864304602","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.9121451378085458","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.8203486240490362","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.7276248727768042","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"2","-0.6339645179563679","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"3","-0.5393580989458262","1.47588","-0.299533","1.13443","0.511873","0.0927519"
"1","-0.4437960595412386","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.34726874701135213","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.24976641112257794","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.15127920315411914","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","-0.05179717490315064","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.048689722320049866","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.15019163870712107","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.25271882697688997","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.356281643411","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.46089054890000003","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.5665561100000001","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.673289","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"1","0.7811","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"2","0.89","0.459283","0.471262","0.457808","-0.0131003","0.599074"
"0","1.0","1.47588","-0.299533","1.13443","0.511873","0.0927519"
