"ACTION","REWARD","A0","A1","A2","A3","V"
"2","0.048689722320049866","-0.785178","0.63449","0.588368","0.099754","0.371302"
"0","0.15019163870712107","0.697728","0.236834","-2.19734","-2.02751","-0.0622183"
"1","0.25271882697688997","0.929944","1.91197","0.193994","-0.65712","-0.632801"
"0","0.356281643411","0.697728","0.236834","-2.19734","-2.02751","-0.0622183"
"1","0.46089054890000003","0.929944","1.91197","0.193994","-0.65712","-0.632801"
"0","0.5665561100000001","0.697728","0.236834","-2.19734","-2.02751","-0.0622183"
"3","0.673289","0.929944","1.91197","0.193994","-0.65712","-0.632801"
"1","0.7811","0.300724","2.04373","-0.0696505","-0.247527","-0.615013"
"1","0.89","-0.785178","0.63449","0.588368","0.099754","0.371302"
"2","1.0","0.672395","0.215102","1.14406","-0.395398","0.175787"
