"ACTION","REWARD","A0","A1","A2","A3","V"
"3","-2.2594748082284037","24.7503","23.1013","70.4211","6.19504","-111.268"
"2","-2.181287685079196","24.7503","23.1013","70.4211","6.19504","-111.268"
"1","-2.1023107930092886","67.116","23.4172","30.0024","25.7256","-75.971"
"1","-2.022536154554837","67.116","23.4172","30.0024","25.7256","-75.971"
"2","-1.9419557116715527","67.116","23.4172","30.0024","25.7256","-75.971"
"2","-1.8605613249207602","65.4915","11.467","78.0572","-15.1077","-91.1512"
"1","-1.7783447726472326","65.4915","11.467","78.0572","-15.1077","-91.1512"
"2","-1.6952977501487196","65.4915","11.467","78.0572","-15.1077","-91.1512"
"3","-1.6114118688370904","65.4915","11.467","78.0572","-15.1077","-91.1512"
"1","-1.5266786553910003","67.116","23.4172","30.0024","25.7256","-75.971"
"1","-1.4410895509000003","67.116","23.4172","30.0024","25.7256","-75.971"
"3","-1.3546359100000003","67.116","23.4172","30.0024","25.7256","-75.971"
"1","-1.2673090000000002","24.7503","23.1013","70.4211","6.19504","-111.268"
"2","-1.1791000000000003","24.7503","23.1013","70.4211","6.19504","-111.268"
"0","-1.09","67.116","23.4172","30.0024","25.7256","-75.971"
"2","-1.0","85.757","-9.06979","88.0738","-35.4179","-84.7558"
