"ACTION","REWARD","A0","A1","A2","A3","V"
"3","0.048689722320049866","59.1115","34.8068","44.1751","72.3802","-49.4029"
"0","0.15019163870712107","19.4892","27.0165","59.9612","33.1253","-87.5024"
"2","0.25271882697688997","47.1969","-25.778","111.322","59.9303","-66.9735"
"0","0.356281643411","93.7509","-8.63998","80.4109","8.18426","-67.1083"
"2","0.46089054890000003","57.5159","21.8249","104.831","8.9058","-87.6079"
"0","0.5665561100000001","91.1059","3.37359","141.573","54.0005","-107.4"
"0","0.673289","91.1059","3.37359","141.573","54.0005","-107.4"
"3","0.7811","91.1059","3.37359","141.573","54.0005","-107.4"
"0","0.89","57.5159","21.8249","104.831","8.9058","-87.6079"
"3","1.0","57.5159","21.8249","104.831","8.9058","-87.6079"
