"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-2.33688006014612","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-2.2594748082284037","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-2.181287685079196","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-2.1023107930092886","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-2.022536154554837","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-1.9419557116715527","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-1.8605613249207602","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-1.7783447726472326","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-1.6952977501487196","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-1.6114118688370904","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-1.5266786553910003","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-1.4410895509000003","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-1.3546359100000003","0.683602","0.112846","-0.263788","0.309937","0.534067"
"1","-1.2673090000000002","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"0","-1.1791000000000003","0.683602","0.112846","-0.263788","0.309937","0.534067"
"0","-1.09","-0.516673","0.732047","-0.0552524","0.690906","0.290493"
"2","-1.0","0.0973206","0.579112","0.680723","-0.245597","-0.726818"
