"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-3.9792541728728783","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.918438558457453","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.857008644906518","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.794958227178301","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.732281037553839","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.668970745003878","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.6050209545493717","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.540425206615527","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.47517697637932","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.409269673110424","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.3426966395054785","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.2754511510156346","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.2075264151673077","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-3.1389155708760685","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-3.0696116877536044","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.999607765407681","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.9288967327350313","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.8574714472071023","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.785324694148588","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.7124491860086746","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.6388375616249236","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.5644823854797205","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.4893761469492124","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.413511259544659","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.33688006014612","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.2594748082284037","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.181287685079196","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-2.1023107930092886","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-2.022536154554837","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-1.9419557116715527","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-1.8605613249207602","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-1.7783447726472326","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-1.6952977501487196","1.03872","-0.631846","0.350381","0.191902","0.175645"
"1","-1.6114118688370904","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"0","-1.5266786553910003","1.03872","-0.631846","0.350381","0.191902","0.175645"
"0","-1.4410895509000003","-0.382974","0.763329","0.300057","-1.45227","0.174529"
"2","-1.3546359100000003","1.17112","-1.04296","1.50639","-1.27737","0.0399155"
"0","-1.2673090000000002","0.614979","0.431583","0.175657","-0.486547","0.0879996"
"0","-1.1791000000000003","0.614979","0.431583","0.175657","-0.486547","0.0879996"
"0","-1.09","0.614979","0.431583","0.175657","-0.486547","0.0879996"
"2","-1.0","0.614979","0.431583","0.175657","-0.486547","0.0879996"
