"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-1.9446629338016268","0.813239","-0.0899139","0.594794","-0.28643","0.209743"
"0","-1.8632958927289158","0.957861","0.13514","0.48539","-0.619634","0.178502"
"2","-1.7811069623524403","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.6980878407600406","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.6142301421818592","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.529525396143292","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.4439650466093858","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.3575404511205917","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.2702428799197896","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.1820635150704943","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.0929934495661557","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-1.0030236864304602","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.9121451378085458","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.8203486240490362","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.7276248727768042","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.6339645179563679","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.5393580989458262","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.4437960595412386","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.34726874701135213","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.24976641112257794","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.15127920315411914","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","-0.05179717490315064","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.048689722320049866","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.15019163870712107","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.25271882697688997","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.356281643411","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.46089054890000003","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.5665561100000001","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.673289","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.7811","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"2","0.89","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
"3","1.0","-0.587245","-0.443479","1.06557","0.788603","-0.188496"
