"ACTION","REWARD","A0","A1","A2","A3","V"
"3","-2.7124491860086746","1.15048","-0.227058","-0.65939","2.61829","-0.518632"
"3","-2.6388375616249236","1.41957","0.124188","0.010643","2.63326","0.263583"
"1","-2.5644823854797205","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-2.4893761469492124","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-2.413511259544659","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-2.33688006014612","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-2.2594748082284037","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-2.181287685079196","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-2.1023107930092886","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-2.022536154554837","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-1.9419557116715527","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-1.8605613249207602","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-1.7783447726472326","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-1.6952977501487196","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-1.6114118688370904","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-1.5266786553910003","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-1.4410895509000003","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-1.3546359100000003","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-1.2673090000000002","0.671881","0.919701","-0.46993","0.816346","0.484549"
"0","-1.1791000000000003","1.764","0.494279","-0.644991","0.449528","-0.318261"
"1","-1.09","0.671881","0.919701","-0.46993","0.816346","0.484549"
"2","-1.0","1.764","0.494279","-0.644991","0.449528","-0.318261"
