"ACTION","REWARD","A0","A1","A2","A3","V"
"1","-0.4437960595412386","-0.541372","0.412527","0.413254","-0.229362","1.56547"
"3","-0.34726874701135213","-0.181597","0.463918","-0.798561","0.482121","2.58567"
"2","-0.24976641112257794","0.503185","-1.48265","1.93747","-1.38964","0.852643"
"3","-0.15127920315411914","-0.181597","0.463918","-0.798561","0.482121","2.58567"
"2","-0.05179717490315064","0.503185","-1.48265","1.93747","-1.38964","0.852643"
"2","0.048689722320049866","-0.181597","0.463918","-0.798561","0.482121","2.58567"
"1","0.15019163870712107","-0.181597","0.463918","-0.798561","0.482121","2.58567"
"1","0.25271882697688997","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"1","0.356281643411","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"1","0.46089054890000003","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"1","0.5665561100000001","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"1","0.673289","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"1","0.7811","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"1","0.89","-0.501322","0.676825","0.45179","-2.3888","2.57789"
"3","1.0","-0.501322","0.676825","0.45179","-2.3888","2.57789"
