"ACTION","REWARD","A0","A1","A2","A3","V"
"1","-2.5644823854797205","-45.3543","38.6587","-49.6522","14.2399","-30.9429"
"1","-2.4893761469492124","-94.8578","30.0367","-1.99289","-5.061","-6.10743"
"1","-2.413511259544659","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-2.33688006014612","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-2.2594748082284037","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-2.181287685079196","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-2.1023107930092886","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-2.022536154554837","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-1.9419557116715527","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-1.8605613249207602","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-1.7783447726472326","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"0","-1.6952977501487196","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"0","-1.6114118688370904","-94.8578","30.0367","-1.99289","-5.061","-6.10743"
"1","-1.5266786553910003","-45.3543","38.6587","-49.6522","14.2399","-30.9429"
"1","-1.4410895509000003","-94.8578","30.0367","-1.99289","-5.061","-6.10743"
"1","-1.3546359100000003","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"2","-1.2673090000000002","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-1.1791000000000003","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"1","-1.09","-15.2615","15.8178","9.00767","-24.0723","10.5256"
"3","-1.0","-15.2615","15.8178","9.00767","-24.0723","10.5256"
