"ACTION","REWARD","A0","A1","A2","A3","V"
"2","-1.0030236864304602","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.9121451378085458","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.8203486240490362","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.7276248727768042","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.6339645179563679","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.5393580989458262","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.4437960595412386","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.34726874701135213","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.24976641112257794","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.15127920315411914","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","-0.05179717490315064","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","0.048689722320049866","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"3","0.15019163870712107","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","0.25271882697688997","-0.146403","1.2621","-0.460981","-0.0633394","0.166485"
"2","0.356281643411","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","0.46089054890000003","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","0.5665561100000001","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"2","0.673289","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"1","0.7811","-0.588029","-0.212891","0.288864","0.116959","0.839665"
"3","0.89","-0.48681","-1.19211","0.281652","0.868146","0.314367"
"3","1.0","-0.243776","0.0662359","0.356311","1.48097","-0.0455164"
