"ACTION","REWARD","A0","A1","A2","A3","V"
"2","-0.5393580989458262","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","-0.4437960595412386","1.24502","-0.520791","-0.0473647","2.85483","0.273421"
"2","-0.34726874701135213","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","-0.24976641112257794","1.24502","-0.520791","-0.0473647","2.85483","0.273421"
"2","-0.15127920315411914","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","-0.05179717490315064","1.24502","-0.520791","-0.0473647","2.85483","0.273421"
"3","0.048689722320049866","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","0.15019163870712107","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","0.25271882697688997","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","0.356281643411","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","0.46089054890000003","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","0.5665561100000001","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"3","0.673289","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"0","0.7811","-0.390429","-0.833018","0.271999","0.37374","0.396712"
"2","0.89","-0.442901","0.0143755","0.00592385","-0.155095","0.396771"
"0","1.0","0.315389","-0.638155","-1.84736","-0.250382","0.156005"
