"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.356281643411","1.44571","0.662596","1.16843","-1.56928","0.532749"
"0","0.46089054890000003","1.38548","0.798769","1.15842","-0.713644","0.671845"
"1","0.5665561100000001","0.746273","1.29088","1.35699","2.5732","0.234764"
"0","0.673289","1.38548","0.798769","1.15842","-0.713644","0.671845"
"2","0.7811","0.746273","1.29088","1.35699","2.5732","0.234764"
"3","0.89","0.746273","1.29088","1.35699","2.5732","0.234764"
"3","1.0","0.721443","0.60228","1.43762","2.246","0.121689"
