"ACTION","REWARD","A0","A1","A2","A3","V"
"2","-1.5266786553910003","0.430577","0.421828","1.00885","-0.1958","-2.14014"
"1","-1.4410895509000003","0.430577","0.421828","1.00885","-0.1958","-2.14014"
"0","-1.3546359100000003","1.59432","0.220861","1.10429","0.448555","-2.06577"
"2","-1.2673090000000002","0.430577","0.421828","1.00885","-0.1958","-2.14014"
"2","-1.1791000000000003","0.430577","0.421828","1.00885","-0.1958","-2.14014"
"3","-1.09","0.430577","0.421828","1.00885","-0.1958","-2.14014"
"1","-1.0","-0.909365","2.79757","0.841198","0.975437","-1.61024"
