"ACTION","REWARD","A0","A1","A2","A3","V"
"1","-1.6952977501487196","44.6307","53.0125","48.4045","14.4977","-134.261"
"0","-1.6114118688370904","44.6307","53.0125","48.4045","14.4977","-134.261"
"3","-1.5266786553910003","59.9139","9.03639","99.2189","18.0068","-148.445"
"2","-1.4410895509000003","59.9139","9.03639","99.2189","18.0068","-148.445"
"3","-1.3546359100000003","96.5542","33.5771","72.7263","-59.8282","-87.6237"
"1","-1.2673090000000002","59.9139","9.03639","99.2189","18.0068","-148.445"
"0","-1.1791000000000003","44.6307","53.0125","48.4045","14.4977","-134.261"
"2","-1.09","59.9139","9.03639","99.2189","18.0068","-148.445"
"0","-1.0","96.5542","33.5771","72.7263","-59.8282","-87.6237"
