"ACTION","REWARD","A0","A1","A2","A3","V"
"1","-5.891892915003025","-0.199952","1.07574","-0.146919","0.103233","0.68067"
"1","-5.85039688384144","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.808481700849939","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.766143132171656","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.723376901183491","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.680178688064133","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.636544129357711","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.5924688175330415","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.547948300538426","1.44418","1.05925","0.501133","-0.63156","1.20523"
"3","-5.502978081351946","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"1","-5.457553617527219","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.411670320734564","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.36532355629754","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.318508642724788","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.271220851237159","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-5.223455405290061","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.175207480090971","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"1","-5.126472202112092","1.44418","1.05925","0.501133","-0.63156","1.20523"
"0","-5.077244648598073","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-5.027519847068762","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-4.977292774816932","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-4.926558358400942","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-4.875311473132265","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-4.823546942557844","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-4.771259537937216","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-4.71844397771436","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-4.665094926984202","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-4.61120699695374","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-4.556774744397718","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-4.501792671108806","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"0","-4.446255223342229","1.44418","1.05925","0.501133","-0.63156","1.20523"
"1","-4.390156791254777","-1.09721","2.16166","1.80185","0.251101","-0.102553"
"1","-4.333491708338159","1.44418","1.05925","0.501133","-0.63156","1.20523"
