"ACTION","REWARD","A0","A1","A2","A3","V"
"3","0.356281643411","-74.282","15.5447","-63.0435","12.3371","-66.6235"
"1","0.46089054890000003","33.5953","-2.33314","-66.0445","-31.5381","-10.9784"
"2","0.5665561100000001","-4.40651","-19.2306","-3.40914","-14.9433","-20.9941"
"1","0.673289","-32.4638","-8.39301","3.41801","-9.73508","-20.6658"
"3","0.7811","-32.4638","-8.39301","3.41801","-9.73508","-20.6658"
"2","0.89","-4.40651","-19.2306","-3.40914","-14.9433","-20.9941"
"2","1.0","-32.4638","-8.39301","3.41801","-9.73508","-20.6658"
