"ACTION","REWARD","A0","A1","A2","A3","V"
"1","-0.5393580989458262","-1.04133","1.03548","0.551901","-2.41387","11.394"
"1","-0.4437960595412386","-2.48843","0.0313027","-0.614256","-0.505444","13.3226"
"1","-0.34726874701135213","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","-0.24976641112257794","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","-0.15127920315411914","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","-0.05179717490315064","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.048689722320049866","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.15019163870712107","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.25271882697688997","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.356281643411","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.46089054890000003","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.5665561100000001","0.65491","3.17145","3.11538","-9.72285","11.3711"
"0","0.673289","0.65491","3.17145","3.11538","-9.72285","11.3711"
"1","0.7811","-2.48843","0.0313027","-0.614256","-0.505444","13.3226"
"1","0.89","0.65491","3.17145","3.11538","-9.72285","11.3711"
"3","1.0","0.65491","3.17145","3.11538","-9.72285","11.3711"
