"ACTION","REWARD","A0","A1","A2","A3","V"
"3","-3.0719400567644426","-0.033088","0.526642","-1.25171","0.118383","0.613829"
"3","-3.001959653297417","-0.279148","0.263672","0.325753","0.128839","0.00371551"
"3","-2.931272377068098","-0.279148","0.263672","0.325753","0.128839","0.00371551"
"3","-2.8598710879475737","-0.279148","0.263672","0.325753","0.128839","0.00371551"
"3","-2.787748573684418","-0.279148","0.263672","0.325753","0.128839","0.00371551"
"3","-2.7148975491761798","-0.279148","0.263672","0.325753","0.128839","0.00371551"
"2","-2.641310655733515","-0.279148","0.263672","0.325753","0.128839","0.00371551"
"1","-2.5669804603368838","-0.033088","0.526642","-1.25171","0.118383","0.613829"
"1","-2.491899454885741","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"0","-2.4160600554401426","1.04687","0.473518","1.16025","-0.588006","-0.347588"
"2","-2.3394546014546895","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"2","-2.262075355004737","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"3","-2.183914500004785","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-2.1049641414189746","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-2.0252163044636107","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-1.9446629338016268","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-1.8632958927289158","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-1.7811069623524403","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-1.6980878407600406","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-1.6142301421818592","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-1.529525396143292","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-1.4439650466093858","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-1.3575404511205917","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-1.2702428799197896","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-1.1820635150704943","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-1.0929934495661557","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-1.0030236864304602","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-0.9121451378085458","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-0.8203486240490362","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-0.7276248727768042","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-0.6339645179563679","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-0.5393580989458262","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-0.4437960595412386","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-0.34726874701135213","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-0.24976641112257794","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","-0.15127920315411914","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","-0.05179717490315064","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","0.048689722320049866","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","0.15019163870712107","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","0.25271882697688997","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","0.356281643411","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","0.46089054890000003","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","0.5665561100000001","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","0.673289","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"3","0.7811","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
"2","0.89","-0.0852755","0.270884","0.614301","-0.186375","0.0330506"
"1","1.0","-1.50235","0.853476","-1.35545","1.25197","-0.138552"
