"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-1.3575404511205917","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-1.2702428799197896","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-1.1820635150704943","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-1.0929934495661557","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-1.0030236864304602","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-0.9121451378085458","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-0.8203486240490362","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-0.7276248727768042","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-0.6339645179563679","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-0.5393580989458262","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-0.4437960595412386","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-0.34726874701135213","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-0.24976641112257794","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","-0.15127920315411914","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","-0.05179717490315064","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","0.048689722320049866","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","0.15019163870712107","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","0.25271882697688997","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","0.356281643411","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","0.46089054890000003","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"0","0.5665561100000001","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"1","0.673289","-0.595","-0.199984","-0.806661","-0.420203","0.338984"
"2","0.7811","0.842541","-0.390771","0.567643","0.0984818","0.569275"
"0","0.89","1.18631","0.11388","0.934903","0.901853","-0.254974"
"0","1.0","0.238271","0.0508567","-0.680997","-0.584371","0.101663"
