"ACTION","REWARD","A0","A1","A2","A3","V"
"2","-4.160039027493752","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"3","-4.101049522720962","1.05576","-1.14398","-0.43567","1.52297","-1.82751"
"1","-4.0414641643646085","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.981276933701625","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.920481751213763","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.859072475973498","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.797042905023735","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.734386772751247","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.671097750253785","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.607169444700793","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.5425953986876695","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.4773690895835045","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.4114839288722267","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.3449332614870975","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.277710365138482","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"1","-3.2098084496348305","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"0","-3.1412206561967984","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-3.0719400567644426","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-3.001959653297417","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.931272377068098","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-2.8598710879475737","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.787748573684418","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-2.7148975491761798","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.641310655733515","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-2.5669804603368838","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.491899454885741","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-2.4160600554401426","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.3394546014546895","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-2.262075355004737","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.183914500004785","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-2.1049641414189746","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-2.0252163044636107","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-1.9446629338016268","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-1.8632958927289158","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-1.7811069623524403","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-1.6980878407600406","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-1.6142301421818592","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-1.529525396143292","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"1","-1.4439650466093858","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"0","-1.3575404511205917","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-1.2702428799197896","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-1.1820635150704943","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-1.0929934495661557","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-1.0030236864304602","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-0.9121451378085458","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-0.8203486240490362","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-0.7276248727768042","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-0.6339645179563679","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-0.5393580989458262","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-0.4437960595412386","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-0.34726874701135213","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-0.24976641112257794","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","-0.15127920315411914","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","-0.05179717490315064","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","0.048689722320049866","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","0.15019163870712107","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","0.25271882697688997","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","0.356281643411","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","0.46089054890000003","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","0.5665561100000001","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","0.673289","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"0","0.7811","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
"1","0.89","1.03319","2.24499","-2.08527","1.58788","-0.578936"
"3","1.0","1.29722","-0.872894","-1.93008","1.19189","-0.44097"
