"ACTION","REWARD","A0","A1","A2","A3","V"
"0","-1.6114118688370904","0.810409","-0.148415","-1.64355","-0.633807","0.84364"
"0","-1.5266786553910003","0.256857","0.211876","-0.908084","0.241919","0.208176"
"2","-1.4410895509000003","-0.0359761","0.170329","0.306794","0.120947","-0.335382"
"2","-1.3546359100000003","-0.31971","-0.147879","0.452166","-0.71266","-2.10296"
"2","-1.2673090000000002","-0.31971","-0.147879","0.452166","-0.71266","-2.10296"
"2","-1.1791000000000003","-0.31971","-0.147879","0.452166","-0.71266","-2.10296"
"0","-1.09","-0.31971","-0.147879","0.452166","-0.71266","-2.10296"
"1","-1.0","-0.31971","-0.147879","0.452166","-0.71266","-2.10296"
