"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.25271882697688997","2.11161","0.287816","1.65959","-1.24984","0.0143086"
"0","0.356281643411","0.826705","0.637975","-0.0537812","-1.03801","0.616078"
"1","0.46089054890000003","0.43919","0.301667","-0.269989","2.30759","-0.540696"
"0","0.5665561100000001","0.826705","0.637975","-0.0537812","-1.03801","0.616078"
"1","0.673289","0.43919","0.301667","-0.269989","2.30759","-0.540696"
"0","0.7811","0.826705","0.637975","-0.0537812","-1.03801","0.616078"
"3","0.89","0.43919","0.301667","-0.269989","2.30759","-0.540696"
"3","1.0","0.362064","0.0123292","-0.413214","1.99213","-0.554561"
