"ACTION","REWARD","A0","A1","A2","A3","V"
"2","-2.9288967327350313","44.6307","53.0125","48.4045","14.4977","-134.261"
"2","-2.8574714472071023","68.8977","57.6965","-5.69886","8.31656","-118.237"
"2","-2.785324694148588","70.5887","42.8023","69.9346","-41.5064","-87.9174"
"2","-2.7124491860086746","70.5887","42.8023","69.9346","-41.5064","-87.9174"
"3","-2.6388375616249236","70.5887","42.8023","69.9346","-41.5064","-87.9174"
"1","-2.5644823854797205","68.8977","57.6965","-5.69886","8.31656","-118.237"
"3","-2.4893761469492124","68.8977","57.6965","-5.69886","8.31656","-118.237"
"1","-2.413511259544659","44.6307","53.0125","48.4045","14.4977","-134.261"
"2","-2.33688006014612","44.6307","53.0125","48.4045","14.4977","-134.261"
"0","-2.2594748082284037","68.8977","57.6965","-5.69886","8.31656","-118.237"
"3","-2.181287685079196","96.5541","33.5771","72.7263","-59.8282","-87.6237"
"3","-2.1023107930092886","59.9139","9.0364","99.2189","18.0068","-148.445"
"3","-2.022536154554837","59.9139","9.0364","99.2189","18.0068","-148.445"
"1","-1.9419557116715527","59.9139","9.0364","99.2189","18.0068","-148.445"
"1","-1.8605613249207602","44.6307","53.0125","48.4045","14.4977","-134.261"
"0","-1.7783447726472326","44.6307","53.0125","48.4045","14.4977","-134.261"
"2","-1.6952977501487196","59.9139","9.0364","99.2189","18.0068","-148.445"
"3","-1.6114118688370904","96.5541","33.5771","72.7263","-59.8282","-87.6237"
"2","-1.5266786553910003","59.9139","9.0364","99.2189","18.0068","-148.445"
"1","-1.4410895509000003","96.5541","33.5771","72.7263","-59.8282","-87.6237"
"2","-1.3546359100000003","68.8977","57.6965","-5.69886","8.31656","-118.237"
"3","-1.2673090000000002","70.5887","42.8023","69.9346","-41.5064","-87.9174"
"1","-1.1791000000000003","68.8977","57.6965","-5.69886","8.31656","-118.237"
"0","-1.09","68.8977","57.6965","-5.69886","8.31656","-118.237"
"0","-1.0","96.5541","33.5771","72.7263","-59.8282","-87.6237"
